16
133 Bishop             220             78.4          0.47
165 Bishop             245             98.3          0.38
 75 Edwards            275            267.4          0.51
136 Edwards            275            113.4          0.4
197 Edwards            350            103.6          0.42
222 Edwards            275            205.3          0.38
310 Humphrey           220             63.7          0.41
430 Humphrey           275            135.3          0.36
424 Orange             245            177.2          0.55
634 Orange             220            135.8          0.35
 27 Trumbull           220             76.1          0.55
 93 Trumbull           275            213.9          0.5
108 Trumbull           245            223.9          0.43
225 Whitney            350            145.8          0.48
268 Whitney            275            248.0          0.31
447 Whitney            275            198.2          0.52

